go_id,go_annotations,go_term,Definitions,Parents,Aspect,go_id_pmc,go_term_pmc,normalized_term,normalized_id,go_match,bin
GO:0033593,1,BRCA2-MAGE-D1 complex,A heterodimeric protein complex formed of BRCA2 and MAGE-D1; may mediate the synergistic activities of the two proteins in regulating cell growth.,GO:0140535,cellular_component,1,0,no appropriate match,GO:0000000,0,1
GO:0060987,1,lipid tube,A macromolecular complex that contains a tube of lipid surrounded by a protein coat.,GO:0032994,cellular_component,1,218,no appropriate match,GO:0000000,0,1
GO:0097525,1,spliceosomal snRNP complex,A small ribonucleoprotein complex involved in formation of the spliceosome.,GO:0030532,cellular_component,10,7,spliceosomal snRNP complex,GO:0005681,0,1
GO:0099020,1,perinuclear endoplasmic reticulum lumen,The volume enclosed by the membranes of the perinuclear endoplasmic reticulum.,GO:0031974|GO:0097038|GO:0005788,cellular_component,1,1,perinuclear endoplasmic reticulum lumen,GO:1990578,0,1
GO:0099189,1,postsynaptic spectrin-associated cytoskeleton,The portion of the spectrin-associated cytoskeleton contained within the postsynapse.,GO:0014731|GO:0099571,cellular_component,1,0,postsynaptic spectrin-associated cytoskeleton,GO:0098978,0,1
GO:0034693,1,U11/U12 snRNP,A ribonucleoprotein complex that is formed by the association of the U11 and U12 small nuclear ribonucleoproteins.,GO:0097525,cellular_component,1,211,U11/U12 snRNP,GO:0071017,0,1
GO:0097462,1,Lewy neurite,"Elongated neuronal process, often with side branches and more than one branching point, described in brains of patients with Parkinson's disease. Lewy neurites stain positively for ubiquitin in brainstem and forebrain regions affected in Parkinson's disease.",GO:0043005,cellular_component,1,697,no appropriate match,GO:0000000,0,1
GO:0034708,1,methyltransferase complex,A protein complex that possesses methyltransferase activity.,GO:0005622|GO:1990234,cellular_component,18,6488,methyltransferase complex,GO:0005964,0,1
GO:0031332,1,RNAi effector complex,Any protein complex that mediates the effects of small interfering RNAs on gene expression. Most known examples contain one or more members of the Argonaute family of proteins.,GO:1990904,cellular_component,6,85,RNA-induced silencing complex,GO:0031332,1,1
GO:0031389,1,Rad17 RFC-like complex,"A pentameric protein complex related to replication factor C, which loads a trimeric complex of checkpoint proteins (known as the checkpoint clamp or 9-1-1 complex) onto DNA at damage sites; functions in DNA damage cell cycle checkpoints. In Schizosaccharomyces pombe the subunits are known as Rad17, Rfc2, Rfc3, Rfc4, and Rfc5, while in Saccharomyces cerevisiae the subunits are known as Rad24p, Rfc2p, Rfc3p, Rfc4p, and Rfc5p.",GO:0005694|GO:0032991,cellular_component,1,0,Rad17 RFC-like complex,GO:0031391,0,1
GO:0120234,1,stereocilium coat,A glycocalyx on the the endolymphatic surface of a cochlear hair cell that coats the external surface of each stereocilium and maintains a small distance between adjacent stereocilia in the bundle.,GO:0030112|GO:0032420,cellular_component,0,0,stereocilium coat,GO:0032420,0,2
GO:1990427,1,stereocilia tip-link density,An electron-dense plaque at either end of a stereocilia tip link that provides the anchor in the stereocilia membrane.,GO:0042995|GO:0002140|GO:0110165,cellular_component,0,0,no appropriate match,GO:0000000,0,2
GO:1990529,1,glycosylphosphatidylinositol-mannosyltransferase I complex,A protein complex that is involved in the transfer of the four mannoses in the GPI-anchor precursor. In yeast S. cerevisiae this complex consists of Pbn1p and Gpi14p and in rat this complex consists of PIG-X and PIG-M.,GO:0140534|GO:0031501,cellular_component,0,0,glycosylphosphatidylinositol-mannosyltransferase I complex,GO:0031204,0,2
GO:0031313,1,extrinsic component of endosome membrane,"The component of an endosome membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region.",GO:0010008|GO:0019898|GO:0031312,cellular_component,0,0,extrinsic component of endosome membrane,GO:0031903,0,2
GO:0098595,1,perivitelline space,The space between the membrane of an oocyte and a surrounding membranous structure (zona pellucida or perivitelline membrane).,GO:0005576,cellular_component,1,2451,perivitelline space,GO:0048047,0,2
GO:0031592,1,centrosomal corona,"An amorphous structure surrounding the core of the centrosome, from which microtubules are nucleated; contains gamma-tubulin.|Note that the centrosomal corona has been observed in Dictyostelium, and is the functional equivalent of pericentriolar material.",GO:0005813|GO:0110165,cellular_component,2,14,centrosomal corona,GO:0032154,0,2
GO:0120337,1,radial spoke head 2,The portion of the radial spoke 2 that is orthogonal to the elongated stalk and which projects towards the central pair of microtubules within the ciliary axoneme.,GO:0120334|GO:0001535,cellular_component,0,0,radial spoke head 2,GO:0120199,0,2
GO:0035657,1,eRF1 methyltransferase complex,"A protein complex required for the methylation of a glutamine (Gln) residue in the protein release factor eRF1. In S. cerevisiae, this complex consists of at least Trm112p and Mtq2p.",GO:0034708,cellular_component,0,0,eRF1 methyltransferase complex,GO:0140492,0,2
GO:0030142,1,COPI-coated Golgi to ER transport vesicle,A vesicle that mediates transport from the Golgi to the endoplasmic reticulum.,GO:0030137|GO:0030133,cellular_component,0,0,COPI-coated Golgi to ER transport vesicle,GO:0030137,0,2
GO:0042568,1,insulin-like growth factor binary complex,"A complex of two proteins, which in animals is 50kDa and consists of the insulin-like growth factor (IGF) and one of the insulin-like growth factor binding protein-1 (IGFBP-1), -2 (IGFBP-2), -4 (IGFBP-4) and -6 (IGFBP-6). The complex plays a role in growth and development.",GO:0016942,cellular_component,0,0,insulin-like growth factor binding protein complex,GO:0032994,0,2
GO:0097234,1,epidermal lamellar body membrane,"The lipid bilayer surrounding an epidermal lamellar body, a specialized secretory organelle found in keratinocytes and involved in the formation of an impermeable, lipid-containing membrane that serves as a water barrier and is required for correct skin barrier function.",GO:0097209|GO:0097232,cellular_component,0,0,epidermal lamellar body membrane,GO:0033112,0,3
GO:0090725,1,peripheral region of growth cone,The non-central region or periphery of the migrating motile tip of a growing nerve cell axon or dendrite.,GO:0030426|GO:0110165,cellular_component,0,0,peripheral region of growth cone,GO:0032588,0,3
GO:0150005,1,enzyme activator complex,A protein complex capable of activating an enzyme. Activating subunits may dissociate from the catalytic unit before the enzyme is active.,GO:0032991,cellular_component,0,27,enzyme activator complex,GO:0008047,0,3
GO:0071261,1,Ssh1 translocon complex,"A translocon complex that contains a core heterotrimer of alpha, beta and gamma subunits, and may contain additional proteins (translocon-associated proteins or TRAPs); in budding yeast the core proteins are Ssh1p, Sbh2p, and Sss1p. The Ssh1 translocon complex is involved in the cotranslational pathway of protein transport across the ER membrane, and recognizes proteins bearing strongly hydrophobic signal sequences.",GO:0071256,cellular_component,0,1,Ssh1 translocon complex,GO:0031205,0,3
GO:0097229,2,sperm end piece,"The short tip of the sperm flagellum, adjacent to the sperm principal piece and furthest from the sperm head, which contains only the axoneme surrounded by the plasma membrane.",GO:0036126|GO:0110165,cellular_component,1,1,sperm end piece,GO:0097225,0,3
GO:0016935,2,glycine-gated chloride channel complex,A protein complex that forms a transmembrane channel through which chloride ions may pass in response to glycine binding to the channel complex or one of its constituent parts.,GO:0098797|GO:0034707,cellular_component,1,1,glycine-gated chloride channel complex,GO:1902710,0,3
GO:0097179,2,protease inhibitor complex,A heterodimeric protein complex that contains a protease inhibitor and a protease; formation of the complex inhibits protease activity.,GO:1904090,cellular_component,0,533,protease inhibitor complex,GO:0032991,0,3
GO:0061845,1,neuron projection branch point,The location where a secondary projection arises from a neuron projection.,GO:0043005|GO:0110165,cellular_component,0,0,neuron projection branch point,GO:1990033,0,3
GO:1990675,1,Golgi medial cisterna membrane,"The lipid bilayer surrounding any of the thin, flattened compartments that form the medial portion of the Golgi complex.",GO:0005797|GO:0032580,cellular_component,0,1,Golgi medial cisterna membrane,GO:0032580,0,3
GO:0097183,1,protein C inhibitor-coagulation factor XI complex,A heterodimeric protein complex that contains protein C inhibitor (SERPINA5) and coagulation factor XI (F11); formation of the complex inhibits the serine protease activity of coagulation factor XI.,GO:0097180,cellular_component,0,0,no appropriate match,GO:0000000,0,3
GO:0000428,2,DNA-directed RNA polymerase complex,A protein complex that possesses DNA-directed RNA polymerase activity.,GO:0030880,cellular_component,9,16,DNA-directed RNA polymerase complex,GO:0005736,0,4
GO:0097121,2,cyclin A1-CDK1 complex,A protein complex consisting of cyclin A1 and cyclin-dependent kinase 1 (CDK1). Cyclins are characterized by periodicity in protein abundance throughout the cell cycle. Cyclin-dependent kinases represent a family of serine/threonine protein kinases that become active upon binding to a cyclin regulatory partner.,GO:0000307,cellular_component,0,0,no appropriate match,GO:0000000,0,4
GO:0000806,2,Y chromosome,"The sex chromosome present in males of species in which the male is the heterogametic sex; generally, the sex chromosome that pairs with the X chromosome in the heterogametic sex. The Y chromosome is absent from the cells of females and present in one copy in the somatic cells of males.",GO:0000803,cellular_component,0,32479,no appropriate match,GO:0000000,0,4
GO:0097453,2,mesaxon,"Portion of the ensheathing process (either myelin or non-myelin) where the enveloping lips of the ensheathing cell come together so that their apposed plasma membranes run parallel to each other, separated by a cleft 12 nm wide.",GO:1990015,cellular_component,1,355,no appropriate match,GO:0000000,0,4
GO:0033011,2,perinuclear theca,"A condensed cytoplasmic structure that covers the nucleus of mammalian spermatozoa except for a narrow zone around the insertion of the tail. It shows two distinct regions, a subacrosomal layer and, continuing caudally beyond the acrosomic system, the postacrosomal sheath. The perinuclear theca has been considered a cytoskeletal scaffold responsible for maintaining the overall architecture of the mature sperm head; however, recent studies indicate that the bulk of its constituent proteins are not traditional cytoskeletal proteins but rather a variety of cytosolic proteins.",GO:0005856|GO:0048471,cellular_component,0,246,perinuclear theca,GO:0001938,0,4
GO:1990026,2,hippocampal mossy fiber expansion,Synaptic expansion of hippocampal mossy fiber axon that makes contact with the thorny excrescences of hippocampal CA3 pyramidal cell dendrites.,GO:0097457|GO:0043195,cellular_component,1,0,no appropriate match,GO:0000000,0,4
GO:0036030,2,protein C inhibitor-plasma kallikrein complex,A heterodimeric protein complex that contains protein C inhibitor (SERPINA5) and plasma kallikrein (KLK1B); formation of the complex inhibits the serine protease activity of plasma kallikrein.,GO:0097180,cellular_component,0,0,no appropriate match,GO:0000000,0,4
